frameIndex;frameTime;mfcc[0];mfcc[1];mfcc[2];mfcc[3];mfcc[4];mfcc[5];mfcc[6];mfcc[7];mfcc[8];mfcc[9];mfcc[10];mfcc[11];mfcc[12];mfcc[13];mfcc[14];mfcc[15];mfcc[16];mfcc[17];mfcc[18];mfcc[19];mfcc[20];mfcc[21];mfcc[22];mfcc[23];mfcc[24]
13;0.130000;-5.757672e+001;-2.994356e+001;1.341106e+001;-1.272546e+001;2.528380e+001;2.967381e+000;-2.787453e+001;6.069396e+000;6.559056e+000;-6.418741e-001;-4.879660e-001;-1.906407e+000;7.401644e+000;-6.123624e-001;-3.462997e+000;-1.391699e+000;-1.633308e+001;-8.783113e+000;-1.600844e+000;-1.026756e+001;-8.018257e+000;-3.552052e+000;5.161609e+000;5.104994e+000;-3.187129e+000
14;0.140000;-6.440044e+001;1.627774e+001;2.657597e+001;-3.040233e+001;-3.448177e+000;-1.854539e+001;1.013056e+001;-3.803227e+000;-3.425926e+000;-9.418949e+000;-8.539289e+000;2.621775e+000;-4.063030e+000;8.260644e-001;-1.083583e+001;-2.125852e+000;-2.952326e+000;1.940255e+000;-6.707115e-001;-5.866046e+000;-1.860447e+000;-3.716451e+000;4.329163e+000;-2.348249e+000;-7.578653e-001
15;0.150000;-2.667448e+001;1.614792e+001;-2.264026e+001;-4.300114e+000;-1.735003e+000;-1.818223e+000;-1.179522e+001;1.817193e+000;-4.233230e+000;-1.090288e+001;9.182668e-001;9.462522e-001;-1.797746e+001;1.435643e+001;-1.370032e+001;-3.036497e+000;5.891121e+000;-1.209884e+001;4.882740e+000;-5.944726e+000;2.012440e+000;-6.437726e+000;4.957913e+000;-5.161010e+000;1.055102e+000
16;0.160000;-8.062747e+001;-1.333996e+001;3.104114e+001;-1.223595e+001;6.264258e+000;-9.630866e+000;6.439230e+000;-4.141934e+000;-2.351798e+000;2.243042e+000;-1.782288e+001;3.298378e+000;-5.375381e+000;-2.847749e+000;7.851719e+000;-9.799125e+000;-8.083828e+000;-1.071611e+001;-1.317526e+001;-4.616383e+000;6.935455e+000;4.454134e+000;7.311011e+000;9.336182e+000;-7.843012e+000
17;0.170000;1.315014e+001;-3.667100e+000;-1.148594e+001;5.386763e+000;-7.271523e+000;4.884736e+000;-5.672442e+000;4.059076e+000;-5.575657e+000;4.766383e+000;-6.031400e+000;5.421944e+000;-5.513187e+000;4.821627e+000;-4.716305e+000;4.278662e+000;-3.592670e+000;3.564096e+000;-3.539582e+000;2.009578e+000;-2.462544e+000;7.016019e-001;-9.000217e-001;2.598896e-001;3.635892e-001
18;0.180000;-7.469222e+001;-2.016540e+000;1.142103e+001;-2.530778e+001;2.578089e+001;1.325291e+000;3.439583e+000;-1.923480e+001;-3.449133e+000;2.703399e+000;-6.627886e+000;-3.571535e+000;-5.836669e+000;9.888043e+000;-6.823786e+000;-9.232787e+000;-1.521910e+001;-5.707469e+000;-4.977615e-001;-1.299401e+000;5.031415e+000;-3.187179e+000;1.333200e+000;-8.833709e-001;1.457327e+001
19;0.190000;-1.786152e+001;1.064238e+001;9.345763e+000;-2.740355e+001;1.218839e+001;1.928483e+000;-6.432572e+000;-3.889586e-001;4.118796e+000;-6.556760e+000;7.692425e+000;-6.798207e+000;-3.777341e-001;8.572619e+000;-1.075002e+001;6.238664e+000;-4.524194e+000;7.895893e+000;-6.029725e+000;-4.800028e+000;1.482372e+001;-9.651060e+000;-1.468218e+000;3.079370e+000;5.448188e+000
20;0.200000;-7.485571e+001;4.131847e+001;7.160542e+000;-1.453114e+001;-1.128281e+001;2.686181e+000;7.395913e+000;6.968170e-002;-6.524219e+000;-3.673822e+000;3.012542e+000;3.758959e+000;-1.517901e+000;-4.570532e+000;-1.378271e+000;2.743308e+000;1.705569e+000;-2.545684e+000;-3.482253e+000;2.041042e-001;2.996696e+000;9.864758e-001;-2.441627e+000;-1.885547e+000;1.941257e+000
21;0.210000;-5.636889e+001;-3.083774e+001;-4.439647e+000;1.659268e+001;-2.319425e+000;-2.450737e+001;4.640813e+000;2.027769e+000;-9.631538e-001;1.420304e+000;-1.136684e+001;8.095607e+000;-5.852705e+000;-9.898171e+000;1.626650e+001;-3.029737e+000;2.454540e+001;-8.446770e+000;8.862558e+000;-5.745425e+000;-6.073533e+000;-1.216362e+001;-3.067142e+000;-3.805268e-001;5.147025e+000
22;0.220000;-3.224093e+001;-3.988017e-001;-1.250932e+001;-2.161682e+001;-1.899258e+001;-1.194544e+000;5.850344e+000;-1.507427e+001;-8.413206e+000;1.802276e+001;1.639306e+000;-1.675355e+001;2.630315e+001;-1.263725e+001;1.560959e+001;-8.324085e+000;4.582140e+000;2.542770e+000;-2.839253e+000;-8.546475e-001;-3.489036e+000;-1.970239e+000;2.036842e+000;-6.164198e+000;-5.594981e+000
23;0.230000;-1.795837e+001;-4.387952e+000;-8.913251e-001;-1.764664e+001;-1.703125e+001;-1.490869e+001;1.470445e+001;-1.102952e+001;-2.321089e+001;7.845342e+000;7.697750e+000;-1.639799e+001;8.482419e+000;-1.052462e+001;1.499396e+001;-3.351772e+000;-3.311943e+000;1.215664e+001;-9.275194e+000;1.196887e+001;-1.186449e+000;1.576697e+000;-2.780490e+000;1.058750e+001;-1.906426e+000
24;0.240000;-2.611097e+001;7.041719e+000;3.761879e+000;-3.605222e+000;-2.246546e+001;-1.283561e+001;1.544868e+001;-2.244646e+000;-2.457546e+001;5.476305e-001;6.702673e+000;-1.621695e+001;1.211994e+001;-2.321136e+001;1.120514e+001;-1.190563e+001;4.545117e+000;5.118685e-001;-1.286150e+001;-4.097050e-001;6.669353e+000;-3.545972e+000;-5.045635e+000;-5.127658e-001;1.114744e+000
25;0.250000;-3.787875e+001;2.816195e+000;-2.123209e+000;-1.228158e+001;-1.272857e+001;-7.434482e+000;-3.741505e-001;-1.182217e+001;-2.469497e+001;2.713396e+000;1.963882e+001;-1.224605e+001;6.214529e+000;-1.452089e+001;1.602967e+001;-1.972168e+001;1.007240e+001;1.251354e+001;-3.450171e+000;1.170475e+001;1.523981e+000;-1.596674e+001;5.785246e+000;9.932137e+000;-4.191430e-001
26;0.260000;-4.287257e+001;-5.520351e+000;5.161234e-002;-1.639643e+001;-1.625769e+001;-1.620938e+001;-9.081803e-001;-7.654487e+000;2.324937e+000;2.163662e+001;-1.295034e+001;-1.172382e+001;1.039702e+001;1.655336e+001;5.629495e+000;-1.619369e+001;1.425050e+001;-1.807730e+001;1.927392e+001;-3.724700e+000;-1.132954e+001;2.903131e+000;-2.732335e-001;-1.057552e+001;7.109514e+000
27;0.270000;-5.902764e+001;-1.764202e+001;-1.718100e+001;-1.277132e+001;-4.237097e+000;7.082211e+000;1.552728e+001;3.318951e+000;-2.206465e+000;-1.063012e+001;-1.739095e+001;2.558700e+001;-3.189716e+000;-4.431626e+000;-8.047830e+000;2.725624e+001;-1.903363e+001;-3.783232e+000;2.909479e+000;-5.985284e+000;1.356988e+001;-2.737281e+000;-1.944095e+000;3.294272e+000;-9.519723e+000
28;0.280000;-4.122912e+001;-5.948220e+000;-1.418057e+000;7.176663e+000;-8.534178e+000;-1.100224e+001;-2.626070e+001;-1.699306e+001;5.699940e+000;1.411366e+001;-7.647008e+000;-1.151595e+001;3.382222e+000;1.035007e+001;-2.037711e+001;7.678679e+000;1.084912e+001;-4.557769e+000;9.357683e+000;1.074084e+001;-1.781378e+001;1.394786e+001;-1.233956e+001;1.954142e+001;-4.717875e+000
29;0.290000;-4.263412e+001;8.973111e+000;5.940959e+000;1.083521e+001;1.460449e+001;3.216377e-002;-1.110110e+001;-1.513956e+001;-1.328832e+001;1.646733e+001;1.144288e+001;-4.290492e+000;-1.494935e+001;2.002539e+001;-8.564196e-001;-1.716081e+001;8.901588e+000;-2.932321e+000;-1.154098e+001;1.995062e+001;-1.072170e+001;1.745236e+001;-1.580284e+001;1.239375e+000;-3.026999e+000
30;0.300000;-4.804412e+001;-9.191586e-001;-6.039089e+000;2.892236e+001;8.044497e+000;2.106736e+001;-4.179112e+000;-1.120799e+001;-1.319552e+001;9.194363e+000;6.930374e+000;-2.212335e+001;-9.963743e+000;1.514052e+001;4.912460e-001;-5.173447e+000;1.531208e+001;-9.964532e+000;8.836964e+000;-1.595737e+000;-2.450601e+000;1.189969e+001;-2.081443e+001;2.876700e+000;-2.627695e+000
31;0.310000;-3.979561e+001;-2.439421e+000;-5.301145e+000;8.168742e+000;-4.625925e+000;-1.359494e+001;-2.878167e+001;-2.184167e+001;2.060400e+001;-3.869701e+000;-8.349177e-001;-1.351165e+001;1.795045e+001;-1.973669e+001;4.412686e+000;9.021357e+000;-1.116173e+001;1.300868e+001;1.355368e+001;-8.887631e+000;5.456047e+000;-7.056256e+000;8.533246e+000;3.550821e+000;1.330464e+000
32;0.320000;-5.716673e+001;-1.553842e+001;-1.586988e+001;-2.493761e+001;-1.028902e+000;1.914048e+001;1.493254e+001;-1.202195e+001;1.734458e+000;-7.186776e+000;4.934146e+000;-9.719177e+000;-3.239867e+000;2.411527e+001;-1.031768e+001;-6.614477e+000;1.345737e+001;-1.953223e+001;1.156678e+001;-6.915242e+000;6.915708e+000;-3.857733e+000;1.338229e+001;-1.286470e+001;-2.882988e+000
33;0.330000;-4.533321e+001;-7.297264e+000;-5.149182e+000;-2.136593e+001;-1.650391e+001;-1.185061e+001;4.685143e+000;2.745747e+000;-1.021095e+000;8.208027e+000;2.145805e+001;-1.313899e+001;-1.149388e+001;1.423275e+001;8.420666e+000;-1.416283e+001;2.286396e+000;-1.401337e+001;-2.295921e+000;1.118682e+001;6.616538e+000;-1.553052e+001;1.355361e+001;-1.370150e+001;2.344360e+001
34;0.340000;-5.806142e+001;-8.867103e+000;1.823274e+000;-1.836078e+001;-9.333151e+000;-1.532704e+001;-6.150412e+000;-1.015725e+001;2.343794e+001;1.191407e+001;1.233416e+001;-2.376799e+001;2.759320e+000;1.422980e+001;-3.362618e+000;-8.194572e+000;9.949937e-001;9.246351e-002;-1.403646e+001;1.417146e+001;-1.729984e+001;9.248126e+000;1.819971e+001;-1.150711e+001;4.555102e+000
35;0.350000;-4.991139e+001;-2.700742e+001;-6.342313e+000;-2.184254e+001;-4.078918e+000;1.678418e+001;1.949458e-001;1.615478e+001;-2.720212e+000;-2.096586e+001;-5.050284e+000;1.302061e+001;1.062051e+001;-1.990572e+001;1.185285e+001;5.245264e+000;-3.167347e+000;-9.833673e+000;2.361768e+000;-4.856202e+000;1.789219e+001;-1.393937e+001;9.801233e+000;-1.431875e+000;-1.113968e+001
36;0.360000;-5.234369e+001;-4.095680e+000;-2.140176e+000;-2.852644e+000;-1.459569e+001;-2.241866e+001;-1.786171e+001;2.722789e+000;7.378008e+000;1.682753e+001;-8.897326e+000;-1.041457e+001;1.729790e+001;8.277896e+000;-1.910750e+001;1.843308e+001;7.092918e+000;-8.472810e+000;-5.110214e+000;-8.506632e-001;-5.919463e+000;1.467059e+001;-1.800686e+001;1.310095e+001;-1.643760e+001
37;0.370000;-2.494752e+001;-2.271968e+000;1.502538e+001;1.187012e+001;7.765831e+000;-7.780238e+000;-1.145867e+001;-2.010826e+001;1.663178e+001;9.737784e+000;7.504202e-001;-1.607799e+001;8.426191e+000;6.962068e+000;-1.609115e+001;6.106220e-001;1.201957e+001;-1.158721e+001;1.049463e+001;4.978628e+000;-1.798008e+001;9.411818e+000;-1.097564e+001;1.457803e+001;-3.943497e+000
38;0.380000;-2.208962e+001;7.431064e+000;6.247686e+000;3.045347e+000;-8.011508e+000;1.509583e+001;-2.691269e+001;-3.080739e+000;4.442852e+000;2.542738e+001;-1.453703e+001;-8.707012e+000;4.933683e+000;-1.001255e+001;5.619943e+000;1.132264e+001;-5.037277e+000;-4.468029e+000;-8.502086e-001;-8.479341e+000;1.714073e+001;-6.272051e+000;-3.176748e+000;4.147155e+000;-2.239428e+000
39;0.390000;-3.787658e+001;-2.919629e+001;-1.997536e+001;-1.460908e+001;1.340537e+001;-1.177594e+001;2.546959e+001;3.096472e+000;-1.659328e+001;4.031670e+000;-9.323817e+000;8.242559e+000;-7.348536e-001;-5.085456e+000;1.166375e+001;9.725068e-001;-5.944656e+000;-7.520384e+000;2.524498e+000;3.973264e+000;2.655102e+000;-3.322101e+000;-4.022666e-001;9.117565e+000;-9.614877e+000
40;0.400000;-2.734592e+001;6.008533e+000;1.867792e+001;-3.973305e+000;-3.177993e+001;1.610507e+001;7.409707e+000;-8.043379e+000;2.284672e+000;-8.499951e+000;6.437130e+000;-2.549220e+000;1.071572e+001;-1.815956e+001;9.392193e+000;-2.110084e+000;4.417796e+000;-4.830024e+000;1.268795e+000;-3.482181e+000;3.004721e+000;5.088973e+000;-7.343604e+000;-2.164951e-001;2.669640e+000
41;0.410000;-4.530187e+001;-2.109419e+001;-2.234995e+001;-2.769000e+001;2.978496e+001;-7.895173e+000;7.202871e+000;1.154221e+001;-1.315589e+001;-6.224695e-001;-3.530536e+000;1.405501e+000;-2.570212e+000;8.652328e+000;1.988970e+000;-6.341249e+000;5.152846e+000;-7.453010e+000;-1.303479e+000;3.828545e+000;5.119734e-001;2.245295e+000;2.453372e-001;1.673877e+000;-8.036014e+000
42;0.420000;-3.469794e+001;2.314180e+000;1.434012e+001;2.059717e+001;-3.008632e+001;-1.060752e+001;1.284200e+001;-4.061083e+000;9.343964e+000;-1.025884e+001;1.048890e+001;-1.726227e+001;7.252326e+000;2.398608e+000;3.577006e+000;-5.405545e+000;-6.102880e-001;8.563710e-001;-1.190948e+000;-5.577844e-001;7.641994e+000;-6.910872e+000;5.586778e-002;-2.546182e+000;6.522046e+000
43;0.430000;-1.163607e+001;7.548398e+000;-2.250457e+000;-1.938842e+001;9.986767e+000;7.035448e+000;-2.293469e+001;2.012139e+001;-8.442972e+000;-1.410251e+000;7.711182e-001;3.918376e+000;-6.650992e+000;4.565648e+000;-2.830514e+000;5.462643e+000;-8.971071e+000;8.308998e+000;-2.660581e+000;-2.826206e+000;3.375945e+000;1.192161e+000;-5.407272e+000;4.802135e+000;-1.492455e+000
44;0.440000;-4.348209e+001;-2.595438e+001;9.170661e+000;3.126749e+001;1.273193e+001;-1.511086e+001;1.466416e+001;-6.552978e+000;6.270449e+000;-1.465762e+001;-4.984681e+000;7.369460e+000;-1.059577e+001;4.008165e+000;-5.998939e+000;9.711037e+000;1.490267e+000;-3.548797e+000;5.803538e+000;-8.615139e-001;3.493281e+000;-6.908874e+000;-8.732974e-001;1.279503e+000;-2.499866e+000
45;0.450000;-1.895625e+001;7.332561e+000;-1.601455e-002;-1.199157e+001;-1.586281e+001;2.937504e+001;-2.138535e+001;-6.013003e-001;4.898277e+000;3.317510e+000;-1.065881e+001;5.030074e+000;-5.649401e-001;-4.953909e-001;9.136681e-002;-5.289114e+000;7.032752e+000;-2.796197e+000;-3.086492e+000;1.356991e-001;6.956509e+000;-8.926498e+000;3.082555e+000;1.670506e+000;-8.615499e-001
46;0.460000;-6.292559e+001;-2.623508e+001;-2.366259e+001;1.680400e+000;2.720214e+001;-1.103675e+001;-5.749940e+000;6.312140e+000;-1.639028e+001;2.191837e+001;-8.317689e+000;1.600875e+000;-7.117546e+000;5.557720e+000;-3.280007e+000;7.001002e+000;-2.524209e+000;-5.484049e+000;2.147584e+000;2.834270e+000;-2.777062e+000;7.190100e+000;-9.906039e+000;2.707547e+000;1.268098e+000
